Technique,Runs,Total Runs,Run Time (ms)
NakedSingle,50,9,0.0002
NakedSingle,53,9,0.0001
NakedSingle,59,14,0.0002
NakedSingle,57,9,0.0002
NakedSingle,61,15,0.0002
NakedSingle,60,9,0.0002
NakedSingle,65,17,0.0002
NakedSingle,66,17,0.0003
NakedSingle,69,17,0.0002
NakedSingle,64,9,0.0002
NakedSingle,72,9,0.0002
NakedSingle,73,9,0.0002
NakedSingle,75,9,0.0002
NakedSingle,79,9,0.0002
NakedSingle,13,55,0.0003
NakedSingle,33,109,0.0005
NakedSingle,28,101,0.0003
NakedSingle,29,103,0.0004
NakedSingle,35,103,0.0003
NakedSingle,39,110,0.0003
NakedSingle,12,47,0.0002
NakedSingle,10,39,0.0002
NakedSingle,19,53,0.0002
NakedSingle,25,74,0.0003
NakedSingle,26,74,0.0003
NakedSingle,17,49,0.0002
NakedSingle,8,37,0.0002
NakedSingle,7,31,0.0002
NakedSingle,15,31,0.0001
NakedSingle,23,40,0.0001
NakedSingle,5,18,0.0001
NakedSingle,6,18,0.0001
NakedSingle,2,9,0.0001
NakedSingle,20,9,0.0001
NakedSingle,37,9,0.0002
NakedSingle,43,15,0.0001
NakedSingle,42,9,0.0002
NakedSingle,47,9,0.0002
NakedSingle,49,9,0.0001
NakedSingle,50,9,0.0001
NakedSingle,53,9,0.0001
NakedSingle,59,14,0.0002
NakedSingle,57,9,0.0001
NakedSingle,61,15,0.0002
NakedSingle,60,9,0.0002
NakedSingle,65,17,0.0002
NakedSingle,66,17,0.0003
NakedSingle,69,17,0.0003
NakedSingle,64,9,0.0002
NakedSingle,72,9,0.0002
NakedSingle,73,9,0.0002
NakedSingle,75,9,0.0002
NakedSingle,79,9,0.0002
NakedSingle,11,46,0.0003
NakedSingle,13,55,0.0002
NakedSingle,33,109,0.0004
NakedSingle,28,101,0.0003
NakedSingle,29,103,0.0003
NakedSingle,35,103,0.0003
NakedSingle,39,110,0.0003
NakedSingle,12,47,0.0001
NakedSingle,10,39,0.0002
NakedSingle,19,53,0.0002
NakedSingle,25,74,0.0003
NakedSingle,26,74,0.0002
NakedSingle,17,49,0.0002
NakedSingle,8,37,0.0001
NakedSingle,7,31,0.0001
NakedSingle,15,31,0.0002
NakedSingle,23,40,0.0002
NakedSingle,5,18,0.0001
NakedSingle,6,18,0.0001
NakedSingle,2,9,0
NakedSingle,20,9,0.0001
NakedSingle,37,9,0.0001
NakedSingle,43,15,0.0002
NakedSingle,42,9,0.0001
NakedSingle,47,9,0.0002
NakedSingle,49,9,0.0001
NakedSingle,50,9,0.0002
NakedSingle,53,9,0.0002
NakedSingle,59,14,0.0002
NakedSingle,57,9,0.0002
NakedSingle,61,15,0.0003
NakedSingle,60,9,0.0002
NakedSingle,65,17,0.0002
NakedSingle,66,17,0.0002
NakedSingle,69,17,0.0002
NakedSingle,64,9,0.0002
NakedSingle,72,9,0.0002
NakedSingle,73,9,0.0002
NakedSingle,75,9,0.0002
NakedSingle,79,9,0.0002
NakedSingle,11,46,0.0003
NakedSingle,13,55,0.0001
NakedSingle,33,109,0.0003
NakedSingle,28,101,0.0003
NakedSingle,29,103,0.0003
NakedSingle,35,103,0.0003
NakedSingle,39,110,0.0003
NakedSingle,12,47,0.0002
NakedSingle,10,39,0.0001
NakedSingle,19,53,0.0002
NakedSingle,25,74,0.0002
NakedSingle,26,74,0.0002
NakedSingle,17,49,0.0002
NakedSingle,8,37,0.0002
NakedSingle,7,31,0.0001
NakedSingle,15,31,0.0001
NakedSingle,23,40,0.0002
NakedSingle,5,18,0.0001
NakedSingle,6,18,0.0001
NakedSingle,2,9,0
NakedSingle,20,9,0.0001
NakedSingle,37,9,0.0002
NakedSingle,43,15,0.0002
NakedSingle,42,9,0.0002
NakedSingle,47,9,0.0002
NakedSingle,49,9,0.0001
NakedSingle,50,9,0.0001
NakedSingle,53,9,0.0002
NakedSingle,59,14,0.0002
NakedSingle,57,9,0.0002
NakedSingle,61,15,0.0002
NakedSingle,60,9,0.0002
NakedSingle,65,17,0.0002
NakedSingle,66,17,0.0002
NakedSingle,69,17,0.0002
NakedSingle,64,9,0.0002
NakedSingle,72,9,0.0002
NakedSingle,73,9,0.0002
NakedSingle,74,9,0.0002
NakedSingle,75,9,0.0002
NakedSingle,79,9,0.0002
NakedSingle,11,46,0.0003
NakedSingle,33,116,0.0007
NakedSingle,28,108,0.0004
NakedSingle,29,110,0.0004
NakedSingle,35,110,0.0003
NakedSingle,39,117,0.0004
NakedSingle,12,47,0.0001
NakedSingle,10,39,0.0002
NakedSingle,19,60,0.0002
NakedSingle,25,81,0.0004
