Difficulty,Difficulty Score,Time (ms),Backtrack Count,Backtrack Fail Count
Beginner,4100,1.0198,41,0
Beginner,4100,0.7731,41,0
Beginner,3800,0.8424,38,0
Beginner,3900,0.7868,39,0
Beginner,4100,1.3026,41,0
Beginner,4200,0.9571,42,0
Beginner,4200,0.8549,42,0
Beginner,3800,0.5651,38,0
Beginner,3800,0.6031,38,0
Beginner,4200,0.8966,42,0
Beginner,3800,0.5209,38,0
Beginner,4200,1.1095,42,0
Beginner,4100,1.162,41,0
Beginner,4100,0.8913,41,0
Beginner,3800,0.9169,38,0
Beginner,3800,0.9317,38,0
Beginner,3700,0.6584,37,0
Beginner,3700,0.5495,37,0
Beginner,4000,0.5628,40,0
Beginner,4300,1.288,43,0
Beginner,4300,0.8201,43,0
Beginner,4000,1.1695,40,0
Beginner,4200,1.0799,42,0
Beginner,4100,0.819,41,0
Beginner,3800,0.5908,38,0
Beginner,4000,0.8281,40,0
Beginner,3700,0.7552,37,0
Beginner,4100,1.0537,41,0
Beginner,4000,0.7697,40,0
Beginner,4300,1.0336,43,0
Beginner,4100,0.9253,41,0
Beginner,3800,0.7157,38,0
Beginner,4300,0.9678,43,0
Beginner,4400,1.6879,44,0
Beginner,4400,1.9713,44,0
Beginner,3800,1.0176,38,0
Beginner,3700,0.6068,37,0
Beginner,4100,0.9209,41,0
Beginner,3800,0.6189,38,0
Beginner,3800,0.6444,38,0
Beginner,4300,0.8926,43,0
Beginner,3800,1.646,38,0
Beginner,4300,1.1509,43,0
Beginner,4400,1.6875,44,0
Beginner,4000,1.1391,40,0
Beginner,4400,1.163,44,0
Beginner,3800,0.6641,38,0
Beginner,3900,0.7287,39,0
Beginner,3900,0.6169,39,0
Beginner,4400,1.3923,44,0
Beginner,4300,0.9941,43,0
Beginner,3800,0.8024,38,0
Beginner,3900,0.7031,39,0
Beginner,3800,0.7308,38,0
Beginner,4000,1.1422,40,0
Beginner,3700,0.6139,37,0
Beginner,3800,0.7792,38,0
Beginner,4300,1.1013,43,0
Beginner,3800,0.5257,38,0
Beginner,4000,1.3231,40,0
Beginner,4200,1.4629,42,0
Beginner,4400,1.1272,44,0
Beginner,4300,1.2376,43,0
Beginner,4000,0.5824,40,0
Beginner,4200,0.9493,42,0
Beginner,4400,10.8235,44,0
Beginner,3700,0.6597,37,0
Beginner,4100,0.755,41,0
Beginner,4300,1.4452,43,0
Beginner,4400,1.1397,44,0
Beginner,3800,0.8176,38,0
Beginner,4000,0.8829,40,0
Beginner,4300,1.1126,43,0
Beginner,4200,1.5095,42,0
Beginner,4300,0.9269,43,0
Beginner,4400,2.0418,44,0
Beginner,4200,0.8536,42,0
Beginner,4100,1.0809,41,0
Beginner,3700,0.612,37,0
Beginner,4300,0.7339,43,0
Beginner,4100,1.1045,41,0
Beginner,4300,1.0528,43,0
Beginner,4300,1.25,43,0
Beginner,4400,0.7748,44,0
Beginner,3800,0.6563,38,0
Beginner,3800,0.5674,38,0
Beginner,4000,0.6439,40,0
Beginner,3700,0.6925,37,0
Beginner,3800,0.7057,38,0
Beginner,4300,1.2955,43,0
Beginner,3700,0.6294,37,0
Beginner,4300,1.2438,43,0
Beginner,3900,0.9061,39,0
Beginner,4100,0.7155,41,0
Beginner,3800,0.8139,38,0
Beginner,4200,1.2487,42,0
Beginner,4300,0.6996,43,0
Beginner,3800,0.996,38,0
Beginner,3700,0.5845,37,0
Beginner,4100,0.8175,41,0
Beginner,4300,0.8057,43,0
Beginner,4400,1.383,44,0
Beginner,4100,0.708,41,0
Beginner,3800,0.6971,38,0
Beginner,4000,0.7753,40,0
Beginner,4000,1.1783,40,0
Beginner,4000,0.6889,40,0
Beginner,4000,1.0287,40,0
