Difficulty,Difficulty Score,Time (ms),Recursive Solver Time (ms)
Beginner,4200,0.8573,0.4745
Beginner,4000,0.6435,0.2872
Beginner,3700,0.7039,0.3291
Beginner,3700,0.751,0.4318
Beginner,4200,0.7612,0.3802
Beginner,4200,0.658,0.26
Beginner,4200,0.9704,0.5616
Beginner,3800,0.6042,0.2805
Beginner,3800,0.6272,0.2928
Beginner,4200,1.1126,0.7074
Beginner,4300,1.0438,0.6123
Beginner,4200,1.5653,1.1794
Beginner,4000,0.9234,0.5184
Beginner,4000,0.707,0.2888
Beginner,4000,1.5477,1.1451
Beginner,3800,3.7811,0.3279
Beginner,4300,1.303,0.6143
Beginner,4000,0.673,0.2661
Beginner,3700,0.6855,0.3303
Beginner,3900,0.6721,0.2755
Beginner,4000,0.8738,0.5057
Beginner,3700,0.5441,0.2262
Beginner,3800,0.6469,0.2526
Beginner,4400,1.6035,1.1116
Beginner,4200,0.8977,0.4585
Beginner,4000,0.7123,0.2714
Beginner,4400,0.8738,0.3905
Beginner,4000,0.878,0.3911
Beginner,4100,0.9121,0.4652
Beginner,4200,0.7389,0.3245
Easy,4700,1.2042,0.6739
Easy,4500,1.116,0.5829
Easy,5000,1.8179,1.1824
Easy,4800,1.968,1.3051
Easy,4400,1.5689,1.1238
Easy,5400,111.4981,109.5768
Easy,5000,3.0952,2.5085
Easy,4400,1.1189,0.6504
Easy,4400,0.9579,0.5209
Easy,4600,1.502,1.0233
Easy,5100,5.3705,4.6374
Easy,4400,1.3332,0.9152
Easy,4900,20.3739,19.801
Easy,5100,1.5164,0.9225
Easy,5100,2.4839,1.4761
Easy,4900,4.8323,4.1402
Easy,5300,45.9061,45.1324
Easy,4500,1.0278,0.5517
Easy,4700,3.1232,2.2084
Easy,5200,19.7787,19.0049
Easy,5100,5.364,3.8921
Easy,4700,1.4231,0.7996
Easy,4400,3.2596,2.3232
Easy,5100,7.5172,6.6009
Easy,4600,1.1364,0.6261
Easy,5000,2.0035,1.3823
Easy,4600,0.9331,0.4531
Easy,4800,1.1003,0.556
Easy,5100,60.383,59.7338
Easy,4600,1.2114,0.716
Easy,5300,5.998,5.3244
Easy,5200,10.812,9.5683
